No. of threads,Ground Template (s), Boundary Distance (s)
1.000000000000000000e+00,4.004396789333365625e+00,3.426687585833330019e+01
2.000000000000000000e+00,3.459049362333340927e+00,1.713043737666657762e+01
4.000000000000000000e+00,2.758594304666606600e+00,8.570975453666656918e+00
8.000000000000000000e+00,2.335442457999988619e+00,4.291691475333361261e+00
1.600000000000000000e+01,2.198138838666712669e+00,2.155140360999970195e+00
3.200000000000000000e+01,2.155397974666660499e+00,1.086587164000017536e+00
6.400000000000000000e+01,2.201899724666645852e+00,5.545284066667287570e-01
6.500000000000000000e+01,2.202867325333348614e+00,5.468241579998599500e-01
6.600000000000000000e+01,2.200735881666636029e+00,5.371661646666628931e-01
6.700000000000000000e+01,2.198817841666671935e+00,5.286082106666375457e-01
6.800000000000000000e+01,2.212403777666622773e+00,5.223918179999600397e-01
1.280000000000000000e+02,2.734061768999936248e+00,5.337750639999588875e-01
1.300000000000000000e+02,2.750843343666625973e+00,5.339519993334155279e-01
1.320000000000000000e+02,2.757083474999944883e+00,5.338083166666365287e-01
1.340000000000000000e+02,2.756577301333285046e+00,5.333247186666388862e-01
1.360000000000000000e+02,2.787583604666679093e+00,5.340748223332715261e-01
1.920000000000000000e+02,3.551409537000002725e+00,5.701064503333933553e-01
1.950000000000000000e+02,3.594224580333351238e+00,5.737258456665585982e-01
1.980000000000000000e+02,3.630359646666723616e+00,5.692444613334070036e-01
2.010000000000000000e+02,3.682035219333329223e+00,5.739915570000752032e-01
2.040000000000000000e+02,3.629090933666626828e+00,5.698131563332632377e-01
2.560000000000000000e+02,4.206336274333277281e+00,5.661707873332488816e-01
2.600000000000000000e+02,4.241216126999991509e+00,5.635646763333473919e-01
2.640000000000000000e+02,4.261247335999996722e+00,5.651219420001325489e-01
2.680000000000000000e+02,4.298886053666592488e+00,5.615394966666826804e-01
2.720000000000000000e+02,4.344406799000050334e+00,5.680541623332828749e-01
